Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	SB_4_64_SH_AYa2022_R1.raw	SB_4_64_SH_AYa2022_R2.raw	SB_4_64_SH_AYa2022_R3.raw	SB_4_64_SH_WT_R1.raw	SB_4_64_SH_WT_R2.raw	SB_4_64_SH_WT_R3.raw	SB_4_64_SH_AY_R1.raw	SB_4_64_SH_AY_R2.raw	SB_4_64_SH_AY_R3.raw	SB_4_64_SH_AYa18_R1.raw	SB_4_64_SH_AYa18_R2.raw	SB_4_64_SH_AYa18_R3.raw
A5Z2X5	YP010_YEAST	YPR010C-A		4	4	196213000.0	201658000.0	224749000.0	220341000.0	210709000.0	269670000.0	163279000.0	137780000.0	225286000.0	197233000.0	150317000.0	193584000.0
D6VTK4	STE2_YEAST	STE2		6	6	8340980.0	5193640.0	2078550.0	9899680.0	4052790.0		20108400.0	8787580.0	2464330.0	8628820.0	11099400.0	2842180.0
O13329	FOB1_YEAST	FOB1		1	1		58997.8						45124.5				
O13516	RS9A_YEAST	RPS9A		17	1	194925000.0	142185000.0	170798000.0	210142000.0	124835000.0	157529000.0	305432000.0	113893000.0	127791000.0	188020000.0	150662000.0	85463000.0
O13525	COQ4_YEAST	COQ4		17	17	50320900.0	58710400.0	61916400.0	64847800.0	70983700.0	66808300.0	66351200.0	60963000.0	51681200.0	57557100.0	64895400.0	41240700.0
O13563	RPN13_YEAST	RPN13		4	4	2871670.0	2695290.0	1364950.0	3740660.0	2623000.0		5155030.0	2081460.0		3202350.0	2436280.0	
O13585	YP089_YEAST	YPR089W		5	5	2240990.0	1323580.0		1978800.0	931863.0		2981910.0	1419360.0		2737300.0	2028810.0	
O14455	RL36B_YEAST	RPL36B		8	2	325647000.0	224329000.0	114717000.0	377715000.0	197967000.0	108551000.0	436713000.0	129518000.0	80483400.0	355412000.0	200470000.0	56195100.0
O14467	MBF1_YEAST	MBF1		11	11	53770700.0	49659900.0	27135000.0	82570700.0	42563700.0	15015600.0	82123100.0	45664800.0	20535300.0	62723600.0	40004000.0	14198800.0
O14468	YO304_YEAST	YOR304C-A		2	2	1341650.0	1710070.0	729509.0	2985240.0	803845.0		1255450.0	1274770.0	1013010.0	1536600.0		
O43137	YB085_YEAST	YBR085C-A		5	5	16367200.0	8142660.0	1153690.0	23565800.0	15926100.0	832127.0	44876900.0	8632470.0	1216370.0	18824900.0	10264000.0	1161700.0
O60200	MDM35_YEAST	MDM35		3	3	4095880.0	4038880.0	4314810.0	5912030.0	5406770.0	4001810.0	4845800.0	3884210.0	4439130.0	4258430.0	4845140.0	3720120.0
O74302	YD13A_YEAST	TY1A-DR4		2	0	3799540.0	7194530.0	3610920.0	3705450.0	3583110.0	2016230.0	9249730.0	7913880.0	3726100.0	10328200.0	10474600.0	1207600.0
O74700	TIM9_YEAST	TIM9		7	7	1489910000.0	1535330000.0	1283070000.0	1881290000.0	1634880000.0	1081450000.0	1477770000.0	1628940000.0	1448630000.0	1510840000.0	1708490000.0	1198960000.0
O75012	MRP10_YEAST	MRP10		4	4	129732000.0	135943000.0	110865000.0	145076000.0	114829000.0	151999000.0	89979000.0	84755800.0	100171000.0	90575200.0	108100000.0	98713300.0
P00044	CYC1_YEAST	CYC1		15	12	6346920000.0	5601870000.0	5070530000.0	8187070000.0	7350630000.0	5631930000.0	6534410000.0	5035230000.0	5200180000.0	5870180000.0	6411600000.0	4263390000.0
P00045	CYC7_YEAST	CYC7		8	8	269698000.0	214046000.0	172506000.0	241435000.0	201510000.0	157975000.0	279826000.0	305210000.0	221680000.0	257529000.0	367470000.0	221737000.0
P00127	QCR6_YEAST	QCR6		3	3	60087300.0	53778100.0	58035000.0	50114600.0	78307900.0	64146300.0	48817800.0	68622400.0	42544800.0	52831200.0	54856400.0	35478500.0
P00128	QCR7_YEAST	QCR7		13	13	1445120000.0	1652540000.0	2128200000.0	1684560000.0	1795820000.0	2881910000.0	1546330000.0	1244520000.0	1703530000.0	1519280000.0	1192170000.0	1977790000.0
P00175	CYB2_YEAST	CYB2		41	41	1364490000.0	1434380000.0	1229310000.0	1718750000.0	1501200000.0	1513620000.0	1261170000.0	1437900000.0	1315450000.0	1325200000.0	1452350000.0	1807890000.0
P00330	ADH1_YEAST	ADH1		14	0	1147870000.0	1261040000.0	446573000.0	1261020000.0	852098000.0	305259000.0	1834960000.0	1261280000.0	490960000.0	1104650000.0	1654900000.0	412627000.0
P00331	ADH2_YEAST	ADH2		15	11	466397000.0	780496000.0	266037000.0	677410000.0	469749000.0	175334000.0	1016820000.0	685208000.0	250814000.0	528497000.0	629215000.0	223415000.0
P00358	G3P2_YEAST	TDH2		7	6	1075820000.0	967854000.0	428965000.0	1117720000.0	1218930000.0	224278000.0	1621200000.0	506414000.0	430411000.0	1364920000.0	530132000.0	517612000.0
P00359	G3P3_YEAST	TDH3		34	10	2758010000.0	2597180000.0	901476000.0	3364630000.0	2756100000.0	543697000.0	4995470000.0	1747560000.0	936801000.0	3128360000.0	1901340000.0	853566000.0
P00360	G3P1_YEAST	TDH1		20	20	1810970000.0	1770840000.0	609174000.0	2444880000.0	2848550000.0	219173000.0	2406110000.0	502736000.0	891395000.0	2318890000.0	461976000.0	727788000.0
P00401	COX1_YEAST	COX1		3	3	411570000.0	633331000.0	913664000.0	474797000.0	658364000.0	1531220000.0	593926000.0	381770000.0	623801000.0	458246000.0	250379000.0	718544000.0
P00410	COX2_YEAST	COX2		9	9	516063000.0	792471000.0	1356750000.0	657974000.0	785075000.0	1927430000.0	726602000.0	532659000.0	984665000.0	540069000.0	315796000.0	883981000.0
P00424	COX5A_YEAST	COX5A		9	6	818688000.0	1019910000.0	1419640000.0	981275000.0	1121610000.0	1922460000.0	838093000.0	681498000.0	1026600000.0	809409000.0	561016000.0	1015340000.0
P00425	COX5B_YEAST	COX5B		8	8	54514500.0	56530300.0	48813700.0	62652200.0	66154700.0	63594700.0	64927000.0	79403700.0	54418900.0	62001300.0	80604600.0	55548600.0
P00427	COX6_YEAST	COX6		13	13	1715790000.0	1755840000.0	1754890000.0	1854670000.0	1909290000.0	1975870000.0	1633490000.0	1407270000.0	1654760000.0	1628940000.0	1544810000.0	1504880000.0
P00431	CCPR_YEAST	CCP1		25	25	594493000.0	638100000.0	520114000.0	720080000.0	741616000.0	500555000.0	603803000.0	698154000.0	629136000.0	677259000.0	689448000.0	609351000.0
P00445	SODC_YEAST	SOD1		15	15	867585000.0	769865000.0	386752000.0	1118240000.0	850291000.0	459009000.0	1149700000.0	640325000.0	469826000.0	861497000.0	733358000.0	579526000.0
P00447	SODM_YEAST	SOD2		12	12	1260530000.0	1474660000.0	1269390000.0	1364880000.0	1560440000.0	1711150000.0	1104910000.0	2017620000.0	1130720000.0	1232570000.0	1628370000.0	1744390000.0
